,Year,Month,Nominal CPUE,RF,XGBoost,GBDT
243,2019.0,11.0,,,,
85,2016.0,11.0,,,,
205,2018.0,11.0,,,,
234,2019.0,11.0,,,,
239,2019.0,11.0,,,,
142,2018.0,11.0,,,,
274,2019.0,11.0,,,,
159,2018.0,11.0,,,,
217,2018.0,11.0,,,,
275,2019.0,11.0,,,,
134,2017.0,11.0,,,,
60,2015.0,11.0,,,,
187,2018.0,11.0,,,,
197,2018.0,11.0,,,,
69,2016.0,11.0,,,,
88,2017.0,11.0,,,,
18,2014.0,11.0,0.0,3.024375112889999,1.4109421,4.845561000371156
252,2019.0,11.0,,,,
128,2017.0,11.0,,,,
27,2015.0,11.0,0.0,0.022908333939999997,-0.67330205,9.800869791699501
164,2018.0,11.0,,,,
250,2019.0,11.0,,,,
111,2017.0,11.0,,,,
254,2019.0,11.0,,,,
59,2015.0,11.0,,,,
46,2015.0,11.0,0.0,47.03816235044002,23.950136,40.146673572157674
257,2019.0,11.0,,,,
166,2018.0,11.0,,,,
126,2017.0,11.0,,,,
224,2018.0,11.0,,,,
194,2018.0,11.0,,,,
7,2014.0,11.0,48.24,32.986529547186684,40.915974,49.5718566190475
283,2019.0,11.0,,,,
210,2018.0,11.0,,,,
237,2019.0,11.0,,,,
288,2019.0,11.0,,,,
222,2018.0,11.0,,,,
149,2018.0,11.0,,,,
195,2018.0,11.0,,,,
10,2014.0,11.0,8.360701096,32.54161479366,23.307192,29.16211274496651
278,2019.0,11.0,,,,
174,2018.0,11.0,,,,
103,2017.0,11.0,,,,
270,2019.0,11.0,,,,
1,2014.0,11.0,0.0,47.916046936,51.7398,43.98604860695887
23,2015.0,11.0,0.0,14.118770758819991,11.545167,25.238669491642273
75,2016.0,11.0,,,,
96,2017.0,11.0,,,,
203,2018.0,11.0,,,,
19,2014.0,11.0,84.44,105.03623838790001,52.8992,48.00096795298284
259,2019.0,11.0,,,,
41,2015.0,11.0,0.0,0.1533372673,1.9050751,6.685809202853596
56,2015.0,11.0,0.213431683,5.665412952899996,8.503309,31.810729793082533
104,2017.0,11.0,,,,
64,2016.0,11.0,,,,
154,2018.0,11.0,,,,
98,2017.0,11.0,,,,
118,2017.0,11.0,,,,
161,2018.0,11.0,,,,
0,,,1.538432816,5.010955674960003,5.0048003,7.133525810107307
2,,,0.0,0.00832473315,1.3979961,9.576433222455801
3,,,5.640632874,299.78988297225993,198.09677,308.61206133230877
4,,,140.3943962,45.09795234109002,75.73456,44.135989524131595
5,,,0.0,1.5248581524399996,1.0154908,6.983290619076532
6,,,65.80357028,83.11676488446003,78.41217,58.44396703107091
8,,,0.0,0.00832473315,1.482694,9.576433222455801
9,,,4.643075202,0.7661216387300003,1.9884908,11.02190687881048
11,,,169.88,70.53866228235,114.10798,80.27035590764211
12,,,139.78,65.09331123298001,19.913511,35.52712558642787
13,,,0.0,0.8688000000000001,1.4543895,7.876196100311981
14,,,26.01,306.08534817602015,664.19763,283.16925475188185
15,,,0.0,291.94543637319026,324.67474,204.33055432850054
16,,,2.794983872,34.82097739896334,14.063299,35.537304539019054
17,,,55.80216616,37.45947328319133,36.314053,43.515383577577985
20,,,17.61,96.26847578435329,83.949524,59.54916299513875
21,,,0.920090736,12.990183916660003,10.197852,7.133525810107307
22,,,7.848845506,28.243403526529995,11.380852,24.19864934298162
24,,,22.28,21.866708062966676,13.17111,25.558549966678196
25,,,1.31,17.71373883816667,52.508793,25.558549966678196
26,,,25.06506109,65.12162619693007,38.25906,72.54763105119292
28,,,22.74565157,24.14137149262,18.755175,28.08336222155631
29,,,2.07,23.47949016658,3.5534165,14.599497380894896
30,,,0.0,56.97185366773002,18.808577,36.26859968896983
31,,,0.0,1.3151719445333334,2.0826163,16.1425744682235
32,,,0.0,5.655406398717998,3.48269,11.70985432175471
33,,,0.0,0.0332989326,1.4530133,10.363289891683387
34,,,0.0,44.20900099535499,20.083014,32.88181372160037
35,,,28.15780682,84.30827896584202,89.88951,60.42447499023156
36,,,3.355,5.686750492829998,0.3339575,15.944317771588294
37,,,0.0,0.0292,0.6359736,6.983290619076532
38,,,5.35,61.081768381686636,49.23659,56.08776757700641
39,,,1.431423697,13.650502089358334,1.4659106,16.981947791955818
40,,,0.0,77.26296756511003,83.29246,59.95928623824168
42,,,2.781726264,8.525512809979995,9.260177,30.3216274924728
43,,,123.8702663,58.375379048850036,62.440357,56.539762111656856
44,,,18.37349821,39.90460958816334,36.960724,67.43660991513349
45,,,0.0,115.70286214843003,34.89264,25.265017491763057
47,,,10.65875773,11.480214706009997,8.981568,11.305085283928369
48,,,734.12,42.30987370692001,13.592621,21.169479245410127
49,,,0.0,34.158100106750005,13.051051,35.86577855164821
50,,,40.8640365,32.001576475068674,22.960468,36.20720342145249
51,,,5.17,19.48093765781667,8.358776,43.32332057308232
52,,,8.64,29.897472178316672,54.662647,58.81905792935964
53,,,2.931128442,13.73065353522999,7.8990946,23.68953646821057
54,,,16.66,13.146220690490003,12.886089,12.581318771191334
55,,,0.0,0.0292,0.6359736,6.362684672522925
57,,,2.945357221,34.57245792281,24.8205,43.794227839477166
58,,,35.2,21.09573714149999,18.489717,34.897238833148364
