,Year,Month,Nominal CPUE,RF,XGBoost,GBDT
370,2019.0,4.0,,,,
272,2017.0,4.0,,,,
421,2019.0,4.0,,,,
171,2016.0,4.0,,,,
23,2014.0,4.0,10.72,10.058453432530003,11.213949,10.762236706679271
310,2018.0,4.0,,,,
371,2019.0,4.0,,,,
157,2016.0,4.0,,,,
134,2016.0,4.0,,,,
43,2014.0,4.0,0.0,1.5917131560599997,2.3358378,3.516117512680508
153,2016.0,4.0,,,,
78,2015.0,4.0,1.230233558,18.194455621560007,19.716394,16.241974091823376
249,2017.0,4.0,,,,
54,2014.0,4.0,9.746713508,7.19527996276,4.031673,6.668934664011054
97,2015.0,4.0,,,,
84,2015.0,4.0,5.03,22.233457661987504,19.294294,13.22933589052034
366,2019.0,4.0,,,,
188,2016.0,4.0,,,,
391,2019.0,4.0,,,,
413,2019.0,4.0,,,,
258,2017.0,4.0,,,,
392,2019.0,4.0,,,,
190,2016.0,4.0,,,,
268,2017.0,4.0,,,,
206,2017.0,4.0,,,,
319,2018.0,4.0,,,,
120,2015.0,4.0,,,,
351,2019.0,4.0,,,,
308,2018.0,4.0,,,,
339,2018.0,4.0,,,,
383,2019.0,4.0,,,,
342,2018.0,4.0,,,,
376,2019.0,4.0,,,,
321,2018.0,4.0,,,,
136,2016.0,4.0,,,,
242,2017.0,4.0,,,,
217,2017.0,4.0,,,,
287,2018.0,4.0,,,,
124,2015.0,4.0,,,,
18,2014.0,4.0,0.0,0.9097514114299998,0.8799485,2.291909536595774
263,2017.0,4.0,,,,
302,2018.0,4.0,,,,
298,2018.0,4.0,,,,
75,2015.0,4.0,0.0,1.6305758431300006,1.0358936,2.2985901858275173
420,2019.0,4.0,,,,
7,2014.0,4.0,14.69,15.43245693604001,32.018917,23.268616669578098
332,2018.0,4.0,,,,
275,2017.0,4.0,,,,
333,2018.0,4.0,,,,
331,2018.0,4.0,,,,
31,2014.0,4.0,7.79262788,14.595425721884999,18.600883,9.641347869515771
