,Year,Month,Nominal CPUE,RF,XGBoost,GBDT
243,2019.0,11.0,,,,
85,2016.0,11.0,,,,
205,2018.0,11.0,,,,
234,2019.0,11.0,,,,
239,2019.0,11.0,,,,
142,2018.0,11.0,,,,
274,2019.0,11.0,,,,
159,2018.0,11.0,,,,
217,2018.0,11.0,,,,
275,2019.0,11.0,,,,
134,2017.0,11.0,,,,
60,2015.0,11.0,,,,
187,2018.0,11.0,,,,
197,2018.0,11.0,,,,
69,2016.0,11.0,,,,
88,2017.0,11.0,,,,
18,2014.0,11.0,0.0,1.06490811328,0.7507653,5.30353204957126
252,2019.0,11.0,,,,
128,2017.0,11.0,,,,
27,2015.0,11.0,0.0,0.47691369150000007,2.3015006,1.403599131580603
164,2018.0,11.0,,,,
250,2019.0,11.0,,,,
111,2017.0,11.0,,,,
254,2019.0,11.0,,,,
59,2015.0,11.0,,,,
46,2015.0,11.0,13.62,114.21641609375,178.21942,84.96246073134301
257,2019.0,11.0,,,,
166,2018.0,11.0,,,,
126,2017.0,11.0,,,,
224,2018.0,11.0,,,,
194,2018.0,11.0,,,,
7,2014.0,11.0,3.59,13.069001240069994,9.695507,21.656520356598776
283,2019.0,11.0,,,,
210,2018.0,11.0,,,,
237,2019.0,11.0,,,,
288,2019.0,11.0,,,,
222,2018.0,11.0,,,,
149,2018.0,11.0,,,,
195,2018.0,11.0,,,,
10,2014.0,11.0,10.43918074,42.575105660999995,33.65142,33.94980218693392
278,2019.0,11.0,,,,
174,2018.0,11.0,,,,
103,2017.0,11.0,,,,
270,2019.0,11.0,,,,
1,2014.0,11.0,4.38,119.89657708290997,60.60227,79.04580632070002
23,2015.0,11.0,0.0,6.441366524116669,3.658569,6.913932954455026
75,2016.0,11.0,,,,
96,2017.0,11.0,,,,
203,2018.0,11.0,,,,
19,2014.0,11.0,17.02,33.36534641183668,94.72103,30.387010808400323
259,2019.0,11.0,,,,
41,2015.0,11.0,0.0,0.5937,0.054625962,2.379054180364222
56,2015.0,11.0,0.0,9.152551461349995,5.8990593,13.023929028729777
104,2017.0,11.0,,,,
64,2016.0,11.0,,,,
154,2018.0,11.0,,,,
98,2017.0,11.0,,,,
118,2017.0,11.0,,,,
161,2018.0,11.0,,,,
0,,,0.0,4.0098292663763315,7.475942,7.1608355360627405
2,,,0.0,5.440209442954999,9.512722,7.3256069707817
3,,,0.0,84.98189299778161,116.53866,64.35047662135584
4,,,76.84161577,20.07631615701332,9.914203,27.441637545048
5,,,0.0,0.18530000000000002,0.38375688,10.8033310369076
6,,,199.7260112,121.51276380896998,80.63661,49.11169111929541
8,,,1.97,1.0079,1.3146588,5.991872415958308
9,,,0.0,9.256484974246662,4.1642666,19.590607718137
11,,,114.0,66.16331432961998,46.428047,45.187238136507425
12,,,119.95,87.73368317241999,74.57365,48.79040505690671
13,,,0.0,3.23283199793,4.0571637,6.7488371712380175
14,,,4.67,97.40630366342003,49.5401,72.16462570959817
15,,,1.899034853,165.75009176226663,39.55145,242.87297623820902
16,,,0.0,52.16326234808002,40.46331,57.418590919595644
17,,,0.0,15.79677211290999,9.71947,27.441637545048
20,,,0.0,94.55665305680006,92.9327,56.845569916378466
21,,,0.0,36.186134637619986,19.70261,37.6839383597296
22,,,6.60320456,58.19545751962001,23.7345,43.266753159706035
24,,,0.0,4.534735811289999,3.7044587,10.31713937280608
25,,,0.0,1.02765156849,3.0052674,6.004074428388299
26,,,4.283954293,11.693389156979995,7.68973,27.975611586863472
28,,,22.80297493,30.26459220705998,11.650102,24.118312564408527
29,,,0.0,13.626310761610998,6.633934,21.23082733400389
30,,,37.66,60.90980067180002,82.15765,32.27910340187999
31,,,0.0,1.48490567667,1.6027261,4.403170397198161
32,,,0.0,9.660029548438333,-2.2791376,12.963972481404465
33,,,0.0,13.266258146733316,9.700639,12.704160723834072
34,,,7.220127035,27.42958457284465,13.487473,27.35257080868833
35,,,230.2812668,71.22716091772,109.75423,80.1453369336124
36,,,0.395,2.776740596161667,-0.5618528,11.184044147575403
37,,,0.0,0.0,0.38375688,0.8348681956300956
38,,,145.96,83.55775715339003,76.379555,51.39371919865217
39,,,0.0,12.306505310310008,1.52694,12.82057383822336
40,,,645.3910271,180.17640572841995,93.58281,48.7124338309581
42,,,0.0,5.203520318570001,5.337166,13.679450323044351
43,,,174.1732559,132.68741387825,100.99302,60.900919725367295
44,,,25.22227452,83.38965631014999,103.62384,31.304228742216267
45,,,15.62,9.651565121899992,6.317674,1.8779834705962581
47,,,0.0,9.55540252409933,6.9817843,2.79730688082508
48,,,83.58,78.64928762131998,29.751724,51.07527668849593
49,,,0.518931934,52.18499116688002,40.46331,59.418022990438274
50,,,2.813352415,39.07212820854999,29.076633,38.25888144841652
51,,,0.0,2.247828066670001,-1.299272,7.320184268693129
52,,,0.0,12.396909075970003,3.99668,8.523444122707934
53,,,0.0,31.826398538490004,7.5431924,16.821853606202918
54,,,5.39,10.571527806847998,5.929788,4.222353506882996
55,,,0.0,0.0,0.49252132,0.8348681956300956
57,,,85.68881292,51.43015940838001,43.699318,70.01767680957987
58,,,0.0,4.243096717200001,-0.47947857,16.193749868286353
