,Year,Month,Nominal CPUE,RF,XGBoost,GBDT
370,2019.0,4.0,,,,
272,2017.0,4.0,,,,
421,2019.0,4.0,,,,
171,2016.0,4.0,,,,
23,2014.0,4.0,3.01,4.358249202919998,1.7553601,4.633951569861216
310,2018.0,4.0,,,,
371,2019.0,4.0,,,,
157,2016.0,4.0,,,,
134,2016.0,4.0,,,,
43,2014.0,4.0,0.0,1.31439852844,2.2789388,2.483446382683264
153,2016.0,4.0,,,,
78,2015.0,4.0,14.9701,70.4319431954,67.4451,61.260355139054454
249,2017.0,4.0,,,,
54,2014.0,4.0,0.775468447,6.0872779135099995,2.3543208,3.778089356492993
97,2015.0,4.0,,,,
84,2015.0,4.0,3.44,11.838592379410002,-0.17557037,11.878338002692688
366,2019.0,4.0,,,,
188,2016.0,4.0,,,,
391,2019.0,4.0,,,,
413,2019.0,4.0,,,,
258,2017.0,4.0,,,,
392,2019.0,4.0,,,,
190,2016.0,4.0,,,,
268,2017.0,4.0,,,,
206,2017.0,4.0,,,,
319,2018.0,4.0,,,,
120,2015.0,4.0,,,,
351,2019.0,4.0,,,,
308,2018.0,4.0,,,,
339,2018.0,4.0,,,,
383,2019.0,4.0,,,,
342,2018.0,4.0,,,,
376,2019.0,4.0,,,,
321,2018.0,4.0,,,,
136,2016.0,4.0,,,,
242,2017.0,4.0,,,,
217,2017.0,4.0,,,,
287,2018.0,4.0,,,,
124,2015.0,4.0,,,,
18,2014.0,4.0,0.0,0.8273417556399998,0.48634797,0.9023087852866104
263,2017.0,4.0,,,,
302,2018.0,4.0,,,,
298,2018.0,4.0,,,,
75,2015.0,4.0,0.26,1.8456811795499994,3.0698426,2.483446382683264
420,2019.0,4.0,,,,
7,2014.0,4.0,14.645,1.7784940210300004,3.090846,3.24726123980484
332,2018.0,4.0,,,,
275,2017.0,4.0,,,,
333,2018.0,4.0,,,,
331,2018.0,4.0,,,,
31,2014.0,4.0,7.03,4.230287986245834,5.174271,3.7903723346250593
