,Year,Month,Lat,Lon,SST,Chla,SSH,SOI,SSS,DO,BT,Q,E,predict_CPUE
0,2014,4,27.0,120.75,17.00298,5.712811,-0.0953,0.0,29.29,10.368,15.482,0.220546072,0.0,1.100518937534221
1,2014,4,27.0,121.25,18.02365,1.2603213,-0.0561,0.0,31.92,8.844,19.203,30.96466852,0.749856645,10.48676486334472
2,2014,4,27.25,120.75,17.00833,9.70786,-0.1171,0.0,31.2,9.2,17.2,0.0,0.0,0.6888792617319153
3,2014,4,27.25,121.0,16.93667,5.2691584,-0.098,0.0,30.479,9.62,15.199,0.0,0.0,0.7880269165292895
4,2014,4,27.25,121.25,17.02032,2.1725903,-0.0746,0.0,30.73,9.943,16.672,2.470116007,0.940996574,3.606195462456281
5,2014,4,27.75,121.0,16.46066,7.0634327,-0.1249,0.0,26.914,8.418,16.262,0.338170644,0.0,0.2971820927087725
6,2014,4,27.75,121.25,16.01165,3.5388856,-0.0906,0.0,28.659,11.255,13.644,0.132327643,0.242600679,1.1140155797073148
7,2014,4,27.75,122.0,16.70165,2.3534656,-0.0238,0.0,30.71,10.311,18.658,32.38685652,0.0,6.449470175763695
8,2014,4,28.0,121.25,15.96398,16.404373,-0.0991,0.0,27.198,8.389,15.788,0.0,0.0,0.1455667826309619
9,2014,4,28.0,121.5,15.767,5.8408,-0.0674,0.0,27.81,9.646,13.381,4.802785401,0.0,3.491124061450275
10,2014,4,28.0,121.75,15.75866,4.6092744,-0.0435,0.0,30.305,10.09,14.329,8.302910949,0.428118846,6.637136804241267
11,2014,4,28.0,122.25,16.61233,1.1778485,-0.019,0.0,32.811,8.859,17.595,9.329098849,0.0,7.718975958187082
12,2014,4,28.25,121.75,15.50765,7.284772,-0.0688,0.0,29.092,8.66,13.768,3.182164754,0.0,2.242424785267131
13,2014,4,28.25,122.0,15.358,2.5366297,-0.0456,0.0,31.51,9.097,14.932,3.184133916,0.740585875,4.773334950409051
14,2014,4,28.25,122.25,15.67367,2.0887146,-0.0204,0.0,31.987,9.21,17.257,37.21714966,12.9432976,18.433454293036892
15,2014,4,28.25,122.5,16.34432,1.365379,-0.0034,0.0,32.882,8.824,17.731,5.634596422,6.65307647,6.474043203161792
16,2014,4,28.5,122.0,15.10467,5.0481157,-0.0466,0.0,29.975,8.549,14.65,4.651517156,1.497040004,3.5156605896531667
17,2014,4,28.5,122.25,15.23165,2.504034,-0.0234,0.0,31.577,9.234,15.644,9.58234658,3.43747671,11.021142264194095
18,2014,4,28.5,122.5,15.72134,1.3869313,-0.0005,0.0,32.322,9.005,17.605,29.46495523,13.37979504,4.616406684906744
19,2014,4,28.5,122.75,15.99832,1.6030458,0.0184,0.0,31.899,9.068,17.654,0.0,27.90849789,0.8580682437341454
20,2014,4,28.75,122.0,14.91,4.556863,-0.0565,0.0,29.749,8.253,14.445,4.919061316,0.483994068,3.5705265529468013
21,2014,4,28.75,122.25,14.84066,3.328512,-0.0337,0.0,30.92,8.951,14.843,1.707453461,0.668133963,3.2838064811442376
22,2014,4,28.75,122.5,15.237,1.9694793,-0.0083,0.0,31.613,9.248,17.342,79.20360813,5.382374378,36.69045370604614
23,2014,4,28.75,122.75,15.42965,1.5468043,0.0175,0.0,32.431,8.818,17.422,7.443429933,9.045290877,2.885708812993635
24,2014,4,29.0,121.75,15.11065,10.208176,-0.0634,0.0,28.348,8.582,14.931,3.729233582,4.504486442,2.322603494035881
25,2014,4,29.0,122.0,14.65865,6.176201,-0.0634,0.0,29.15,8.8,13.56,16.59593023,5.503950362,6.554703549574707
26,2014,4,29.0,122.25,14.353,3.1791162,-0.0386,0.0,29.954,9.07,12.196,9.380559599,0.0,5.838607976910342
27,2014,4,29.0,122.5,14.6703,2.2638521,-0.0083,0.0,30.331,9.639,15.483,3.969829297,9.395059402,5.438000156926016
28,2014,4,29.0,123.0,15.00332,2.6744003,0.0418,0.0,31.095,10.342,16.652,14.3906312,2.453575052,8.716380123148149
29,2014,4,29.25,122.25,13.91265,4.5242796,-0.0436,0.0,29.141,9.234,12.043,0.0,0.0,0.6127846258178133
30,2014,4,29.25,122.5,14.02734,3.5831544,0.0021,0.0,30.17,10.743,15.572,0.0,0.085372673,0.6991500199890526
31,2014,4,29.25,122.75,14.39733,2.6266427,0.0353,0.0,31.602,9.801,15.825,2.266301016,1.308066359,9.568066586924774
32,2014,4,29.25,123.0,14.5883,1.9469167,0.0548,0.0,30.336,9.808,15.845,20.01251395,20.76400427,14.017279260378517
33,2014,4,29.25,123.25,14.613,2.32807,0.0389,0.0,30.253,10.387,15.7,45.07844535,0.213431683,10.111851497471703
34,2014,4,29.5,122.25,13.52133,9.628268,-0.0414,0.0,28.578,8.829,12.458,0.0,0.0,0.289034362735781
35,2014,4,29.5,122.5,13.56533,3.692254,0.0094,0.0,29.107,9.612,11.504,3.689134297,0.0,3.2450381998309688
36,2014,4,29.5,122.75,14.014,2.0663505,0.051,0.0,29.656,9.639,14.277,4.673192446,0.0,5.301464004566917
37,2014,4,29.5,123.0,14.33398,2.6464076,0.0572,0.0,31.372,9.732,15.644,12.19018289,6.856977877,9.437737954503275
38,2014,4,29.5,123.25,14.35766,1.7929696,0.041,0.0,30.244,10.285,15.563,15.5585229,0.748520002,11.707139988872733
39,2014,4,29.75,122.25,13.094,12.563837,-0.0255,0.0,29.779,9.7465,13.7,2.278976078,0.073515357,1.9002719620075363
40,2014,4,29.75,122.5,13.32833,6.985816,0.0206,0.0,29.314,9.208,11.823,6.704600591,0.6553369,2.9924606097186572
41,2014,4,29.75,122.75,13.74133,2.639051,0.055,0.0,29.844,9.841,14.685,7.498566451,0.793965859,6.205374824979215
42,2014,4,29.75,123.0,14.08932,3.4986796,0.052,0.0,20.894,10.23,15.309,5.719969095,4.097888307,3.9436859206068267
43,2014,4,29.75,123.25,14.13766,1.6921692,0.0352,0.0,30.801,10.155,14.887,31.95712584,0.0,9.240235198990888
44,2014,4,30.0,122.75,13.45266,2.3499846,0.0287,0.0,30.104,10.277,11.926,4.009928583,0.922283574,5.344007985933269
45,2014,4,30.0,123.0,13.7653,2.166109,0.0297,0.0,30.294,11.885,13.997,4.646170585,9.571699528,5.098035848968466
46,2014,4,30.0,123.25,13.99334,1.5925678,0.0134,0.0,30.985,11.126,12.924,7.807330951,9.990737065,8.656993781569074
47,2014,4,30.0,123.5,14.017,0.9537267,-0.003,0.0,31.146,11.149,13.161,14.94672237,1.63834225,14.599343065031185
48,2014,4,30.25,121.5,13.772,3.7824974,0.0242,0.0,30.661,9.9975,12.849,0.0,0.413523885,0.30183412151371236
49,2014,4,30.25,122.25,12.94967,10.666152,-0.1158,0.0,30.7795,11.3235,12.7145,0.914459323,0.032275035,1.5299481231602776
50,2014,4,30.25,122.75,13.2523,4.402776,-0.0372,0.0,30.337,8.869,12.774,0.0,0.041352389,0.40504677265747135
51,2014,4,30.25,123.0,13.44366,3.061755,-0.0031,0.0,30.413,11.498,12.268,12.38235764,0.653575242,7.526443090823676
52,2014,4,30.25,123.25,13.70434,2.1973612,-0.0061,0.0,31.148,11.126,12.956,33.94986632,18.38358227,20.07514649395483
53,2014,4,30.5,122.75,13.28265,2.7672925,-0.0844,0.0,30.64,9.117,12.935,0.0,0.145414993,0.7624515734258455
54,2014,4,30.5,123.0,13.393,2.5122328,-0.0358,0.0,30.434,9.917,12.527,0.0,11.83597253,6.338086832417602
55,2014,4,30.5,123.25,13.594,1.6346997,-0.0158,0.0,30.299,10.865,12.904,4.234484584,22.38227566,5.302553138886913
56,2014,4,30.5,123.5,13.73333,1.3447652,-0.0234,0.0,30.955,10.213,13.102,0.0,4.342000794,10.80990116413785
57,2014,4,30.5,123.75,13.83566,1.078953,-0.0294,0.0,22.931,10.557,12.969,30.02367195,47.74173795,15.06702491490514
58,2014,4,30.75,121.5,14.335,6.6310105,0.1863,0.0,27.3,9.648,13.01,0.0,0.106931429,0.4455142439102391
59,2014,4,30.75,122.75,13.26266,4.1261153,-0.1086,0.0,31.674,8.739,13.051,0.415443051,0.0,1.052635667253616
