Month,Lat,Lon,SST,Chla,SSH,SOI,SSS,DO,BT,QPS,EPS
11,31,122.75,19.83767,3.5509624,-0.0027,0.5,29.68,7.455,21.299,0.002101561,0
11,31,123.25,21.495,2.1798,0.1048,0.5,33.284,6.737,22.278,0.152726507,0.475062601
11,30.75,122.75,20.09533,3.5785604,0.0021,0.5,30.41,7.207,21.916,0.032437973,0.420395832
11,30.75,123,20.98065,2.5023801,0.1199,0.5,29.936,9.901,22.378,1,0.780404868
11,30.75,123.25,21.62264,1.9602073,0.1183,0.5,33.149,6.604,22.325,0.127460232,0.924736266
11,30.75,123.5,21.77767,1.754014,0.1171,0.5,33.163,6.801,22.233,0.122778012,0.172740251
11,30.5,122.75,20.17632,3.011271,0.0628,0.5,31.843,7.826,22.279,0.039703768,0.189245887
11,30.5,123,21.103,2.2569249,0.1492,0.5,32.166,7.207,21.434,0.054048592,0.081026336
11,30.5,123.25,21.66198,1.9307362,0.1303,0.5,33.584,7.123,21.382,0.084190456,0.083235691
11,30.5,123.5,21.832,1.7270224,0.1285,0.5,33.548,7.13,21.346,0.089686393,0.097558102
11,30.5,123.75,21.88333,1.499097,0.1318,0.5,33.523,7.078,21.294,0.103735274,0.105653961
11,30.25,122.5,19.69534,5.037523,0.0608,0.5,25.177,7.922,20.316,0.000345991,0.003708786
11,30.25,122.75,20.267,3.3416119,0.1069,0.5,30.306,7.462,21.643,0.05074245,0.020346019
11,30.25,123,21.13198,1.8315859,0.171,0.5,30.107,7.567,21.933,0.059884412,0.211879191
11,30.25,123.5,21.85467,1.4662348,0.1283,0.5,33.626,6.943,21.923,0.111807763,0.084385347
11,30,122.5,19.93533,6.343685,0.068,0.5,27.094,8.071,19.067,0.002226436,0.001483542
11,30,123,21.485,2.0266304,0.146,0.5,33.087,7.189,21.877,0.133136508,0.226068345
11,30,123.5,21.87066,1.3183957,0.1307,0.5,33.693,7.242,21.776,0.127488073,0.21083703
11,30,123,21.485,2.0266304,0.146,0.5,33.087,7.189,21.877,0.133136508,0.226068345
