Month,Lat,Lon,SST,Chla,SSH,SOI,SSS,DO,BT,Species,Abundance
4,27.5,120.5,17.13,21.054512,-0.171,0.7,28.5,9.7,14.7,0,0.04109246
4,27,120.5,17.15765,9.852761,-0.1903,0.7,26.2,9.091,15.435,0,0.026741679
4,27.25,120.75,16.961,9.774401,-0.1588,0.7,27.6,8.5,15.6,0,0.023389663
4,27.25,121,16.91165,4.3238115,-0.1353,0.7,28.954,7.993,15.767,0,0.014873098
4,27,120.75,16.92166,3.0633197,-0.1873,0.7,30.142,8.09,16.428,0,0.186540621
4,27.5,121,16.56634,5.912089,-0.1804,0.7,28.895,8.126,14.943,0,0.002454576
4,27.25,121,16.91165,4.3238115,-0.1353,0.7,28.954,7.993,15.767,0,0.014873098
4,27,121,17.34033,2.0212927,-0.1602,0.7,30.857,8.076,18.348,0,0.454177461
4,28,121.25,15.828,23.289207,-0.293,0.7,25.083,7.964,16.873,0,0.088128235
4,27.75,121.25,15.834,9.273159,-0.2501,0.7,26.808,8.319,15.717,0,0
4,27.5,121.25,16.54333,5.023203,-0.1646,0.7,30.129,8.933,16.239,0,0.117891401
4,27,121.25,18.56332,1.8959504,-0.1248,0.7,32.878,8.641,19.936,0,0.516214605
4,28.25,121.25,16.466,16.398178,-0.1584,0.7,29.856,8.1165,19.023,0,0.127203267
4,28.25,121.5,15.73165,21.819202,-0.1584,0.7,26.834,7.592,18.11,0,0.070208526
4,28,121.5,15.79467,10.354186,-0.1781,0.7,26.976,8.037,15.95,0,0.019433292
4,27.75,121.5,16.36132,4.4279976,-0.166,0.7,27.673,13.512,17.114,0,0.179083909
4,27.5,121.5,17.51666,2.0966713,-0.1296,0.7,30.746,9.477,19.99,0,0.286189175
4,27.25,121.5,18.86498,2.2221148,-0.0715,0.7,27.216,7.9445,16.416,0,0.182868432
4,27,121.5,19.82733,2.1443655,-0.071,0.7,27.6355,10.9045,15.918,0,0.173108083
4,28.75,121.75,16.25134,10.829544,-0.0486,0.7,29.674,10.577,18.0665,0,0.24087876
4,28.75,122,15.641,8.25316,-0.0572,0.7,31.022,9.275,19.825,0,0.325175811
4,28.5,121.75,16.169,8.6048155,-0.0343,0.7,27.598,8.297,14.722,0,0.007643271
4,28.25,121.75,15.81365,8.487453,-0.0409,0.7,28.602,11.677,16.143,0,0.190519394
4,28,121.75,16.338,4.4273586,-0.0633,0.7,29.123,8.284,15.539,0,0.018769794
4,27.75,121.75,17.63333,1.6561874,-0.086,0.7,31.298,9.073,19.66,0,0.608393822
4,27.5,121.75,19.349,1.5289656,-0.0938,0.7,29.344,10.057,15.532,0,0.249070601
4,27,121.75,20.51098,2.2668264,-0.0407,0.7,30.692,8.755,17.2905,0,0.230868613
4,29.5,122,14.78,13.021995,0.0045,0.7,31.3105,9.195,19.277,0,0.570120085
4,28.5,122,15.73165,6.5656095,-0.0361,0.7,30.086,8.437,14.921,0,0.16509918
4,28.25,122,16.14333,3.6200168,-0.0128,0.7,30.245,8.744,15.462,0,0.210835839
4,28,122,17.55532,2.179862,-0.0102,0.7,31.323,9.317,18.894,0,0.498151035
4,27.75,122,19.60833,1.7756065,-0.0292,0.7,34.209,6.919,18.527,0,0.611003311
4,30.5,122.25,14.202,16.59426,-0.0395,0.7,23.797,8.603,14.416,0,0.006438802
4,29.5,122,14.78,13.021995,0.0045,0.7,30.803,7.99375,17.61975,0,0.271011163
4,29.25,122.25,15.24233,6.1301703,-0.11,0.7,29.1,8.531125,17.166125,0,0.088175321
4,29,122.25,15.53198,4.402514,-0.1219,0.7,27.397,9.0685,16.7125,0,0.039697301
4,28.75,122.25,15.866,3.9103336,-0.115,0.7,28.9075,8.724375,17.139375,0,0.07373377
4,28.5,122.25,16.345,2.962082,-0.0845,0.7,30.418,8.38025,17.56625,0,0.192500343
4,28.25,122.25,17.68133,2.1327069,-0.0594,0.7,30.997,9.534,19.009,0,0.343732358
