model,r2,mse,explainvar,season,species,iteration
RF,0.2923109243684786,1.2930087625754396,0.29248513186278446,spring,loli,0
XGB,0.2464878106278321,1.3767315295861842,0.24671875054272607,spring,loli,0
GBDT,0.2608487149512563,1.3504929231584604,0.2608815185975193,spring,loli,0
ANN,-1.2184908051880412,4.053373366321061,-0.8017393260593286,spring,loli,0
KNN,0.28218428621650704,1.311511000799543,0.2828935788335998,spring,loli,0
SVM,0.28597059167657446,1.3045930953150113,0.28668037097233046,spring,loli,0
RF,0.23113420751423253,1.1780518243593059,0.23790588856492,spring,loli,1
XGB,0.18712871074140613,1.2454767979525034,0.19447602217584736,spring,loli,1
GBDT,0.20073124227036032,1.224635075976836,0.2067341676654374,spring,loli,1
ANN,0.18469794329024913,1.2492012061111375,0.18576019644715525,spring,loli,1
KNN,0.21049496772526055,1.209675150984593,0.21801881256650646,spring,loli,1
SVM,0.24544874256028126,1.156119174616451,0.2463902435188703,spring,loli,1
RF,0.2332175522947494,1.1482161514885558,0.23940310223658334,spring,loli,2
XGB,0.17435704808144104,1.2363566427383768,0.17648450875663146,spring,loli,2
GBDT,0.20960669239978091,1.1835721651311077,0.2158447219601537,spring,loli,2
ANN,-1.6634422092169001,3.9883638081851007,-1.179875016496625,spring,loli,2
KNN,0.20540853914175783,1.1898586775463469,0.20822821082741483,spring,loli,2
SVM,0.16476002975150683,1.2507276699906829,0.1727144591072879,spring,loli,2
RF,0.24706861939411284,1.1444808791716357,0.25164717653886837,spring,loli,3
XGB,0.19835585905221897,1.2185259040158718,0.20335164235517322,spring,loli,3
GBDT,0.22917744936639828,1.1716760559568704,0.2314861377388484,spring,loli,3
ANN,-0.03200881852195403,1.5686879181266677,-0.030345842865974415,spring,loli,3
KNN,0.2437736149813855,1.1494893960754178,0.25274232638786676,spring,loli,3
SVM,0.12651409288466542,1.3277277912297114,0.1288208313357535,spring,loli,3
RF,0.047157319768737604,1.283624591455344,0.051481244246863844,spring,loli,4
XGB,-0.021923905596814786,1.3766875508785823,-0.015989223964023802,spring,loli,4
GBDT,-0.022200302212314726,1.3770598993260352,-0.015826084566622933,spring,loli,4
ANN,-0.4316621787919932,1.9286675728126617,-0.41069305288215574,spring,loli,4
KNN,0.06209719376456768,1.2634982998311723,0.06813991185324964,spring,loli,4
SVM,0.04821780349580462,1.282195957936775,0.05237173194451561,spring,loli,4
RF,0.25079452035584193,1.1068662483835447,0.2509102695092803,spring,loli,5
XGB,0.258598556229904,1.0953366691894943,0.2598676484586656,spring,loli,5
GBDT,0.1819787946021051,1.2085336897789374,0.18197898251380507,spring,loli,5
ANN,0.09027154185287245,1.3440207698364894,0.10498839618468125,spring,loli,5
KNN,0.25146715179593293,1.1058725116065633,0.2516493182580961,spring,loli,5
SVM,0.12537985086558145,1.2921522192988661,0.1256218870533068,spring,loli,5
RF,0.2032429025398056,1.0701385819630205,0.2042408899634266,spring,loli,6
XGB,0.17507977324781343,1.1079649801717661,0.17673671661678736,spring,loli,6
GBDT,0.17832441945321764,1.1036070383344216,0.17918335686794784,spring,loli,6
ANN,0.006542737575998769,1.334330060491741,0.024262160119407516,spring,loli,6
KNN,0.18968065091607078,1.0883542825411685,0.19055395692464516,spring,loli,6
SVM,0.19859447788846019,1.0763819635163316,0.20022376113130846,spring,loli,6
RF,0.07265799111573723,1.1496176946072354,0.08353873736236328,spring,loli,7
XGB,0.03230811664992872,1.1996390774591617,0.03942848953359068,spring,loli,7
GBDT,0.04154259397791915,1.1881911775096274,0.050600317184572696,spring,loli,7
ANN,0.0778310635431474,1.1432046824271975,0.08445227587390713,spring,loli,7
KNN,0.06914212373313922,1.1539762843359485,0.07546775528346306,spring,loli,7
SVM,0.11824524515530832,1.0931035785741432,0.1305916704108928,spring,loli,7
RF,0.2610457402605192,1.0282105743758119,0.26115370296968043,spring,loli,8
XGB,0.21565614250866705,1.0913674799081956,0.21581909073816619,spring,loli,8
GBDT,0.21387115548875502,1.0938511823901924,0.2145418715233639,spring,loli,8
ANN,0.187260150079387,1.1308788018890374,0.18813964070859357,spring,loli,8
KNN,0.23600190780819452,1.0630575666097488,0.23612252586453997,spring,loli,8
SVM,0.19013282186121205,1.1268816512347806,0.19267448111599716,spring,loli,8
RF,0.3828213770831821,0.9114579201368428,0.3862308625065095,spring,loli,9
XGB,0.3547444415702554,0.9529223265439933,0.3561565865426348,spring,loli,9
GBDT,0.36811642756388474,0.9331743928189864,0.3703788438846499,spring,loli,9
ANN,0.22851550912009622,1.13933895855301,0.2289987659834587,spring,loli,9
KNN,0.35786977551997545,0.9483067901728821,0.3611607062738015,spring,loli,9
SVM,0.2517579410889863,1.105014213795702,0.2590720836481233,spring,loli,9
RF,0.1725260451512708,1.4729614865833542,0.25083232389185195,spring,loli,10
XGB,0.16470835029346476,1.4868775299487484,0.24076987181190768,spring,loli,10
GBDT,0.1615713395589662,1.492461628357936,0.24335184503167095,spring,loli,10
ANN,0.13360117036899333,1.5422504848514094,0.20876252814880547,spring,loli,10
KNN,0.16068472805452705,1.494039858816971,0.2543585830526893,spring,loli,10
SVM,0.14219351710083172,1.526955506995965,0.24799982489876682,spring,loli,10
RF,0.16818934928385,1.3392257066647155,0.1753991621740747,spring,loli,11
XGB,0.1355990743695259,1.3916964629780137,0.14610525077263115,spring,loli,11
GBDT,0.13622838851668628,1.3906832592125662,0.14810392833581698,spring,loli,11
ANN,-0.2235603405674449,1.969947680199308,-0.08859605618416255,spring,loli,11
KNN,0.24711352736924197,1.212156778083024,0.2557651201880168,spring,loli,11
SVM,0.20180714494922392,1.28510062889887,0.21625869009191112,spring,loli,11
RF,0.1635461305780126,1.1844354988883852,0.17078702120085587,spring,loli,12
XGB,0.09968460380596211,1.2748647049536244,0.1070456393302921,spring,loli,12
GBDT,0.11616053031202722,1.25153446171577,0.12409958697615131,spring,loli,12
ANN,-0.045562704076105964,1.4805378136121734,-0.024227713699958242,spring,loli,12
KNN,0.12104841516657217,1.244613118473969,0.12378847741284094,spring,loli,12
SVM,0.10411283589954967,1.2685942392642418,0.10989924303513143,spring,loli,12
RF,0.27261797879077976,1.1692083150514117,0.2755553297079679,spring,loli,13
XGB,0.19553167931074455,1.2931183646547355,0.202196454178885,spring,loli,13
GBDT,0.22907417921560047,1.2392014837684422,0.2355967736667831,spring,loli,13
ANN,-1.0870940139453906,3.3548363916697332,-1.0865059858854416,spring,loli,13
KNN,0.3052194260400778,1.1168041009037744,0.3056354834887737,spring,loli,13
SVM,0.27436794332105185,1.1663953872910613,0.278720848794451,spring,loli,13
RF,0.27413332355304276,1.3868266938320828,0.2782150558110731,spring,loli,14
XGB,0.19235135586729013,1.5430777238640454,0.19755035006121424,spring,loli,14
GBDT,0.20467553672336047,1.5195313846458385,0.20747000655311343,spring,loli,14
ANN,0.13375332240469429,1.65503398201572,0.1456718047713903,spring,loli,14
KNN,0.25151068531278986,1.4300490645711006,0.2534877675219379,spring,loli,14
